classes	BT549 || Claudin	HBL100 || Claudin	HS578T || Claudin	MDAMB157 || Claudin	MDAMB231 || Claudin	MDAMB435 || Claudin	MDAMB436 || Claudin	SUM159PT || Claudin	SUM1315 || Claudin	600MPE || Others	AU565 || Others	BT20 || Others	BT474 || Others	BT483 || Others	CAMA1 || Others	DU4475 || Others	HCC38 || Others	HCC70 || Others	HCC202 || Others	HCC1007 || Others	HCC1008 || Others	HCC1143 || Others	HCC1187 || Others	HCC1428 || Others	HCC1500 || Others	HCC1569 || Others	HCC1599 || Others	HCC1937 || Others	HCC1954 || Others	HCC2157 || Others	HCC2185 || Others	HCC3153 || Others	LY2 || Others	MCF7 || Others	MDAMB134 || Others	MDAMB175 || Others	MDAMB361 || Others	MDAMB415 || Others	MDAMB453 || Others	MDAMB468 || Others	SKBR3 || Others	SUM44PE || Others	SUM52PE || Others	SUM149PT || Others	SUM185PE || Others	SUM190PT || Others	SUM225CWN || Others	T47D || Others	UACC812 || Others	ZR751 || Others	ZR7530 || Others	ZR75B || Others
Group	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others
7070	4.733	1.161	5.979	-0.26	-0.337	0.364	0.041	0.095	0.221	0.106	0.144	-0.042	0.042	-0.198	-0.321	-0.047	-0.357	-0.521	0.319	0.171	-0.373	0.1	-0.037	0.136	-0.056	0.278	-0.56	-0.193	0.024	-0.008	0.05	-0.323	0.316	-0.173	-0.083	0.22	0.129	-0.264	-0.582	-0.143	0.044	0.312	-0.432	-0.189	-0.284	-0.131	-0.693	-0.118	-0.368	-0.221	0.175	-0.169
11080	1.76	1.703	1.472	-0.097	2.076	-0.381	0.732	1.453	2.019	-0.152	-0.55	0.177	-0.211	-0.936	-0.69	0.149	0.94	0.367	-0.197	-0.232	0.053	0.211	0.305	-0.236	0.76	0.329	0.067	0.037	-0.464	0.484	-0.045	0.099	-0.085	-0.192	-0.324	-0.449	-0.38	-0.487	-0.608	0.255	0.176	-0.223	-0.072	-0.185	-0.697	-0.303	0.703	-0.246	-0.549	-0.477	-0.058	-0.677
10395	-0.313	3.281	5.625	-0.328	6.496	2.213	1.956	3.677	0.456	-0.126	-0.151	-0.114	-0.356	0.761	-0.116	0.532	1.621	-0.761	0.067	-0.497	-0.215	1.9	-0.723	2.508	1.319	1.318	0.882	-0.525	-0.895	0.434	1.121	-0.679	-0.253	1.436	0.065	-0.501	-0.76	-0.216	-0.754	-1.002	-0.361	0.159	0.006	0.528	-0.998	-0.458	-0.495	-0.105	-0.747	-0.326	-0.175	0.983
891	1.427	1.116	1.362	0.644	1.343	0.882	0.046	2.13	-0.275	-1.473	-0.886	1.439	-1.827	-0.194	-1.843	-0.765	-1.838	-0.34	-1.691	-1.958	-0.792	-2.618	1.005	-0.718	1.03	1.026	-0.3	0.173	0.54	-0.083	-1.481	0.013	-0.119	0.345	0.172	-0.532	-1.576	0.651	0.155	0.407	-2.247	-1.676	-2.111	0.556	-1.687	0.36	-0.512	1.204	-0.081	-0.251	-0.686	0.704
22873	2.034	0.909	0.325	2.59	-0.552	1.493	2.662	1.573	1.566	-0.177	-0.324	-0.242	0.048	-0.426	-0.31	0.012	2.579	0.458	0.442	-0.206	0.681	1.664	1.667	-0.159	0.272	0.924	1.336	0.864	-0.022	-0.386	-0.267	0.266	-0.044	-0.616	-0.657	-0.105	-0.347	-0.504	-0.305	0.245	-0.119	-0.104	-0.548	-0.415	-0.041	-0.474	-0.714	-0.196	0.233	-0.206	0.017	-0.326
7538	-0.542	-0.5	-0.655	-1.389	-1.323	-1.381	-1.132	-0.197	-1.333	0.908	-0.659	0.069	0.778	-0.047	-0.323	-0.458	-0.272	-0.587	0.137	0.573	0.583	0.087	-0.399	-0.486	-0.653	-0.616	0.096	0.647	0.042	-0.597	0.427	0.441	-0.829	0.751	-0.196	0.925	-0.246	0.202	-0.047	0.518	0.284	-1.332	-0.109	-0.154	0.093	-0.098	0.373	-0.229	0.211	1.368	1.552	0.42
54502	-5.262	-2.164	-5.4	-5.223	-5.109	-3.776	-1.157	-6.131	-4.97	3.03	1.074	1.351	2.71	1.807	1.453	-3.398	-2.061	-0.035	-1.389	2.495	1.555	-1.694	-4.028	-0.626	-1.314	-0.178	0.867	1.09	0.615	-0.397	-0.002	-0.523	2.321	-0.242	1.117	1.001	2.256	1.058	0.89	0.431	1.792	1.83	-0.156	-1.701	1.295	-0.227	1.126	-1.823	0.441	1.775	1.391	-0.375
8533	1.749	1.109	1.934	1.934	2.259	0.52	-0.247	-0.698	0.186	-0.38	-0.409	1.15	-0.951	-1.553	-1.178	0.081	-0.254	0.024	0.012	0.247	-1.351	-0.976	-0.275	-0.639	1.632	0.69	-0.892	0.897	1.006	0.065	-0.289	0.212	-0.085	0.76	-0.227	-1.48	-0.608	-0.465	0.462	0.675	-1.292	-1.531	0.533	0.201	-0.438	-0.455	-1.307	-0.07	-0.974	-1.499	-2.292	0.159
55850	1.106	0.217	1.016	2.73	-0.288	2.329	0.968	0.471	0.723	-0.983	-0.036	0.546	0.414	-0.782	-0.097	-0.72	-0.684	0.444	-0.566	-0.108	-0.023	0.328	1.587	1.371	0	-0.498	-0.214	0.323	-0.825	-0.012	-1.173	0.647	-0.951	-1.545	-0.248	-1.204	-1.28	-0.119	0.227	-0.223	-0.015	-1.072	-0.955	0.745	-1.34	-0.183	-0.211	-0.223	-1.021	0.167	-0.959	-0.932
80195	-0.597	-0.401	-0.642	-0.993	-0.805	-0.651	-0.657	-1.528	-0.315	0.834	-0.588	-1.157	0.374	0.873	-0.127	0.528	0.528	1.025	0.023	0.773	0.913	-0.594	0.07	2.156	-1.2	-1.015	0.008	-0.491	-0.349	2.331	0.48	-0.097	-0.093	-0.164	-0.262	0.899	0.64	0.884	-0.569	-0.57	-0.808	1.139	0.058	-1.378	1.645	-0.226	0.439	0.198	0.801	1.374	0.484	0.924
23329	-0.74	-0.803	-0.859	-1.474	-0.435	-1.339	-0.524	-0.51	-0.893	0.223	2.773	-0.62	2.415	0.561	0.622	-0.143	-0.88	-0.087	-0.32	0.693	-0.079	-0.056	-0.672	0.047	-0.608	-0.8	0.661	-0.641	-0.192	-0.201	2.435	-1.132	3.978	2.382	-0.467	0.576	2.002	0.061	1.83	-0.079	1.467	1.402	0.402	-0.899	1.094	-0.476	0.582	1.945	1.523	1.846	1.919	3.749
5328	3.17	3.176	3.413	1.473	3.332	-0.703	4.225	0.562	7.109	-0.195	-0.027	-0.651	0.091	-0.498	-0.523	0.649	2.806	-0.698	0.742	1.017	-0.685	0.57	-0.521	-0.665	3.266	-0.707	-0.5	1.489	0.18	-0.616	0.636	-0.543	-0.294	0.229	-0.298	-0.167	-0.512	-0.378	-0.743	2.196	-0.111	-0.467	-0.743	6.488	-0.305	4.203	-0.063	-0.541	0.235	-0.59	-0.129	-0.878
6793	0.652	0.246	0.961	2.286	2.045	1.591	3.148	0.85	0.499	-1.106	1.309	1.15	-1.995	-1.045	0.748	-0.169	-0.914	-0.556	-0.535	-1.17	0.913	-0.669	-1.238	0.679	0.996	0.08	0.635	-0.444	0.236	0.42	-1.916	-0.76	-0.122	0.35	-0.762	-1.049	-1.13	-0.883	-0.762	0.751	0.033	-0.746	-1.06	-0.042	-0.943	-0.437	-0.014	-0.428	-0.158	-1.014	-1.22	0.274
7805	-0.152	0.017	0.429	0.449	2.989	0.416	-0.352	0.923	2.743	0.428	-0.326	-0.322	-0.267	-0.457	0.562	0.294	-0.143	-0.794	0.414	-0.06	-0.531	0.213	-0.147	-0.105	0.047	0.133	-0.469	-0.032	0.267	-0.236	-0.082	-0.222	0.515	0.434	-0.208	-0.485	-0.47	-0.129	-0.465	-0.427	0.42	-0.187	0.01	0.288	-0.307	-0.279	-0.804	0.158	-0.539	0.107	-0.069	-0.332
3842	1.628	0.977	1.229	1.235	1.1	-0.235	0.699	2.459	0.305	0.6	0.738	0.988	-1.267	0.019	-0.118	-0.686	0.344	-0.887	-2.117	-1.779	-1.092	-1.999	-0.139	-0.221	0.682	-1.177	-1.159	-1.328	-0.211	-0.085	-1.583	-0.348	0.685	-0.65	2.081	-1.172	-1.124	0.994	-0.189	0.029	-0.04	0.607	0.019	0.228	1.987	0.808	-0.413	-0.573	-0.309	-0.376	0.207	-0.702
83638	-0.118	0.759	1.652	1.504	0.551	0.803	-0.152	0.935	1.213	-0.618	-0.275	-0.191	0.528	-0.36	0.62	-0.685	0.037	-0.881	0.448	0.033	0.053	-0.046	0.173	0.239	-0.016	0.162	-0.32	-0.181	-0.071	0.398	0.441	0.134	0.185	-0.307	-0.708	-0.221	0.046	-0.301	-0.428	-0.161	-0.44	-0.904	-0.143	0.934	-0.977	-0.353	-0.007	0.498	-0.108	-0.333	-0.302	-0.909
593	-0.026	-1.633	-0.549	-0.971	-1.978	-0.531	-0.738	-1.192	-1.574	-0.311	0.423	0.47	1.054	1.632	-0.014	-0.76	-0.083	0.882	0.428	-0.315	0.58	0.252	0.506	0.362	-1.663	-1.079	0.18	0.099	-0.796	-0.379	0.189	-1.453	-1.528	0.488	0.232	-0.437	0.149	0.735	0.751	0.586	-0.064	-1.253	-0.868	-1.457	-0.798	-0.422	1.385	0.14	1.405	0.454	0.534	-0.198
402	0.488	-0.866	0.413	1.195	0.491	1.824	1.778	0.56	0.676	-0.526	-0.011	-0.579	1.422	-0.476	-0.903	-0.782	0.57	0.087	0.237	-0.22	0.503	-0.41	0.954	-0.372	-0.699	-0.339	-0.014	-0.225	-0.382	0.552	0.235	0.227	-0.077	-0.026	-0.905	-0.922	0.072	0.276	-1.521	-0.046	-0.916	-0.456	-0.456	1.086	0.224	-0.366	-0.046	-0.189	-0.621	-1.083	-0.35	-1.082
57645	-0.338	-3.362	-2.46	-1.6	-0.99	-1.934	-0.567	-0.52	0.136	2.402	-0.338	0.049	-0.992	0.918	1.645	0.849	-2.68	-0.436	-0.296	1.098	0.806	-0.922	0.817	0.224	-1.055	-0.101	1.104	0.29	-1.043	1.081	0.218	0.319	0.284	-0.789	-0.957	0.55	-1.573	-0.498	0.536	-0.088	-0.347	0.729	0.138	-1.786	-0.046	-0.782	-0.183	0.022	0.324	0.098	-0.659	1.014
7005	-0.339	0.207	-1.446	-0.92	-0.683	-1.772	-2.134	-0.242	-1.367	0.726	0.568	0.068	1.128	0.586	0.183	-1.224	-1.271	0.29	-0.029	0.715	-0.043	-0.531	0.789	-0.14	0.017	-0.526	-0.478	0.414	-1.397	-0.167	0.719	0.278	-0.282	-0.732	0.193	0.03	2.566	0.661	0.868	0.631	-0.387	-0.162	-0.336	-0.36	1.202	-0.156	0.451	0.63	0.31	-0.626	-0.48	-0.656
1464	-0.199	1.529	1.09	-0.041	-0.069	0.181	-0.04	1.766	1.076	0.183	-0.078	-0.034	0.222	-0.328	-0.357	0.308	0.016	-0.373	0.184	-0.199	-0.46	-0.143	0.013	-0.442	-0.334	-0.22	-0.214	-0.349	0.125	-0.022	-0.115	-0.436	0.284	-0.214	-0.02	0.014	-0.371	-0.14	-0.076	-0.163	0.654	-0.014	0.062	-0.173	-0.22	-0.222	-0.306	0.138	-0.138	-0.061	-0.071	-0.235
4354	0.889	1.574	1.01	1.131	1.051	1.764	2.493	2.235	0.978	-0.391	-0.377	-0.053	-0.557	-1.222	-0.444	0.56	0.333	-0.754	0.281	-0.099	-0.728	0.424	-0.662	-0.194	0.209	0.82	-0.926	-0.679	-0.477	0.072	-0.15	-0.171	-0.018	-0.972	0.181	-0.405	-0.839	0.019	0.192	-0.648	-0.617	-0.309	0.795	0.579	-0.438	-0.014	-1.067	-0.7	0.097	-0.715	-0.185	-0.71
2011	-0.761	-1.79	-0.663	-0.965	-0.834	-1.574	-1.213	-0.517	-0.819	0.24	2.134	-0.875	1.365	-0.173	-0.975	-0.28	-0.627	1.391	0.75	0.261	1.61	-0.958	1.885	1.531	-0.268	-0.361	1.402	1.362	0.386	1.022	1.779	0.066	1.206	-0.553	-1.855	-0.467	0.1	-0.088	-0.715	-0.044	0.206	-0.625	-0.438	0.774	-0.049	-0.599	0.849	0.454	0.5	-1.243	0.142	-0.488
79961	-2.705	-1.785	-2.101	-2.631	-2.409	-1.864	-1.318	-3.455	-2.003	2.054	2.034	-2.746	-1.279	3.811	4.724	0.08	0.221	2.301	-0.488	0.443	-2.928	-1.39	-1.433	1.374	-0.333	-0.506	-2.945	1.059	-1.724	-2.597	-2.932	-2.749	1.401	0.535	2.364	0.466	1.373	1.921	0.225	1.11	2.064	2.616	1.535	-2.964	-1.394	0.955	1.8	0.726	0.93	0.689	-0.137	0.628
79784	-1.08	-1.322	-0.454	-0.693	-1.336	-0.872	-0.955	-0.767	0.077	0.861	0.674	-1.096	0.038	0.289	0.17	-0.201	-0.027	2.496	0.59	0.824	0.398	1.89	-0.827	-0.017	0.788	-0.083	-0.045	1.794	-0.987	-0.256	1.517	-0.926	-0.28	0.557	0.093	-0.767	0.263	0.497	-0.817	-0.203	0.123	-0.286	-0.775	-0.576	0.531	-0.584	0.227	-0.258	0.838	-1.34	0.595	1.164
10920	0.916	0.351	0.506	1.315	0.086	0.659	1.202	2.052	0.234	-0.042	-1.185	0.498	-0.409	-0.133	-0.429	0.105	2.212	0.025	-1.453	-0.459	-2.534	-0.997	-1.215	0.922	-0.254	0.201	-2.047	-2.25	-0.069	-1.258	-0.481	0.352	-0.434	-0.033	1.638	-0.485	-0.088	-0.999	-0.958	0.22	-1.217	-0.081	0.003	0.691	-0.724	0.92	0.188	-0.424	-0.548	-0.798	-0.231	-0.307
6515	0.312	1.896	0.098	0.432	0.286	1.123	5.682	0.818	0.411	0.335	-0.297	-0.059	-0.221	-0.487	0.357	0.213	0.135	-0.185	-0.242	-0.171	-0.525	0.06	-0.038	-0.01	-0.312	-0.059	-0.471	-0.172	-0.184	-0.292	-0.168	0.34	0.028	-0.041	-0.465	-0.032	-0.321	0.08	0.121	-0.495	0.599	-0.266	-0.115	-0.12	-0.404	-0.389	-0.675	-0.078	-0.158	-0.046	-0.267	-0.213
9987	0.801	0.7	0.465	1.001	0.987	1.125	-0.023	1.875	-0.294	-0.364	-0.786	-1.187	-0.417	-0.35	-0.489	-0.695	-1.631	-0.61	-3.352	-0.032	0.235	-0.684	0.079	-0.245	-0.127	0.265	0.353	-0.162	1.15	-0.564	0.515	-1.289	0.708	-0.557	0.719	-0.29	0.16	-0.281	0.362	0.643	0.243	-0.945	-0.357	-0.738	0.229	-1.427	-0.497	0.328	-1.031	0.061	-0.05	-0.387
27237	-0.961	-0.512	-0.935	-0.789	-0.897	-0.549	-0.418	-0.888	-0.967	0.813	0.596	0.062	0.325	-0.603	0.487	0.409	-0.691	0.149	0.816	0.266	-0.632	-0.332	-0.402	-0.624	-0.023	-0.804	-0.787	-0.389	-0.293	-0.821	-0.532	-0.142	0.361	-0.084	0.41	0.244	0.37	0.384	0.757	0.015	0.548	0.239	-0.06	-0.837	1.103	0.995	0.1	-0.097	-0.18	0.531	-0.503	0.969
25801	-2.063	-2.141	-1.337	-1.534	1.348	-1.131	-0.736	-1.243	-1.643	-0.996	-0.109	0.651	0.96	0.977	1.784	-0.714	-0.24	1.903	-1.119	-0.157	2.155	-0.32	-0.773	1.777	0.642	-1.745	1.551	0.505	0.186	-2.495	-1.342	-0.204	-0.049	0.667	2.376	0.796	0.333	3.635	0.884	2.006	-0.495	-0.24	1.159	-0.973	-0.244	-0.052	1.03	0.362	1.397	0.381	-0.797	2.915
1290	10.323	9.308	5.126	7.045	-0.361	-0.094	0.154	1.883	10.468	-0.197	0.193	-0.482	1.094	-0.546	-0.167	-0.334	8.72	-0.39	-0.022	3.991	-0.529	0.014	-0.346	-0.138	3.832	-0.509	-0.356	0.011	-0.18	-0.447	-0.34	-0.111	-0.044	-0.374	-0.426	-0.175	-0.38	7.54	-0.221	5.463	0.086	-0.213	-0.038	-0.095	7.83	0.125	4.195	0.114	-0.395	-0.15	0.588	-0.354
8666	0.427	0.861	1.182	0.7	1.189	0.707	0.497	1.118	0.965	-0.435	-0.413	-0.033	-0.075	-1.86	-0.092	-0.745	-0.438	-0.882	-1.016	-0.885	0.152	-0.653	0.849	-1.101	0.843	0.367	0.175	0.193	-0.435	-0.835	-1.089	0.004	-0.424	-0.24	0.272	-0.04	-0.753	-1.77	-0.281	2.717	-1.172	-1.424	-1.121	0.749	-0.889	0.052	-0.997	-0.524	-1.255	0.486	-1.132	-0.013
55033	1.256	0.228	1.239	1.251	-0.283	0.776	1.005	1.077	0.617	-0.619	-0.096	0.211	-1.091	-1.145	-1.065	-1.176	0.231	0.218	-0.925	-0.187	-1.082	-0.895	-0.9	-0.173	1.674	-0.343	-1.078	-0.108	1.15	-1.465	0.188	-0.525	-0.478	-0.346	-1.033	-0.286	-0.532	-0.098	0.008	0.055	1.202	0.149	-0.757	-0.47	-0.678	0.038	0.157	-0.064	-0.126	0.152	-0.536	0.194
9743	-0.714	-1.418	-1.18	-1.01	-1.179	-0.801	-0.625	-0.874	-0.887	-0.164	1.595	-0.526	0.491	-0.083	-0.628	-0.273	-1.082	0.506	0.037	-0.49	-0.268	-0.794	2.086	0.314	0.498	-0.337	-0.06	0.186	-0.137	-0.666	1.318	-0.006	-0.383	-0.791	-0.398	-0.286	0.587	0.094	1.115	0.306	1.408	-0.076	0.04	1.127	0.055	0.296	0.766	0.548	0.829	-0.098	0.165	0.268
23654	-2.708	0.982	-2.03	-5.058	-1.708	-3.461	-4.009	-1.631	-1.986	2.056	3.228	-0.87	0.477	2.611	0.044	-1.244	0.096	0.952	-0.088	-1.891	0.767	0.495	-1.942	-1.114	-0.725	-0.551	0.47	-0.313	-4.137	-2.354	2.957	0.052	-1.277	-1.385	-0.525	2.258	-0.093	0.539	1.177	0.758	2.162	1.005	1.402	-2.245	2.553	0.62	-0.63	0.764	2.979	-0.618	2.405	0.636
30008	2.55	2.337	2.524	-0.046	-0.641	0.551	1.721	-0.078	3.412	-0.17	-0.482	-0.431	0.103	-0.257	0.187	0.44	0.913	-0.468	0.672	-0.211	-0.234	0.168	-0.263	0.114	-0.606	1.211	-0.434	-0.212	0.096	0.175	-0.289	-0.012	-0.051	-0.076	-0.343	0.453	-0.492	-0.099	-0.256	-0.425	0.796	-0.277	-0.154	0.664	-0.374	0.042	-0.744	0.037	-0.215	0.09	-0.006	-0.755
23037	-1.895	-2.049	-1.22	-0.906	-2.285	-1.581	-2.136	-1.04	-1.741	-1.453	4.064	-2.2	2.251	0.511	0.957	-0.97	-1.178	5.126	-0.664	-1.071	2.018	-0.272	-0.699	-0.657	1.151	-0.235	2.203	3.985	-1.131	-0.201	3.816	-0.376	-2.41	-2.199	-1.702	2.063	1.015	0.829	0.929	1.308	2.501	3.14	2.054	-0.267	2.979	0.512	2.699	0.954	0.028	2.072	2.858	-1.513
1364	-4.93	-5.702	-4.512	-5.008	-5.56	-4.41	-5.409	-6.207	-4.821	0.625	0.708	-1.25	-0.069	0.907	-2.809	-4.566	-0.966	0.158	1.411	0.436	1.424	0.107	1.226	-0.076	-1.537	-0.191	1.112	0.417	0.884	1.345	0.457	0.492	0.365	-1.108	-1.395	3.823	-0.661	-0.101	-1.654	-0.57	1.393	0.839	-2.35	-1.433	2.758	0.034	1.488	1.193	0.47	-0.046	1.752	-1.848
7378	1.704	1.508	2.445	3.589	2.01	5.732	3.572	2.344	1.776	-1.411	-0.351	5.357	-1.629	-1.226	-1.22	0.038	3.768	0.928	-0.98	-1.419	-1.456	0.345	-1.478	-1.16	3.062	-0.178	-1.68	0.552	7.394	0.561	-1.471	0.978	1.241	-1.138	-0.021	-0.878	-1.793	-0.107	-1.992	4.377	-2.457	-0.666	-0.844	4.564	-0.938	2.946	1.251	-1.155	-0.341	-1.529	-1.529	-1.509
4602	-0.844	-0.609	-0.595	-1.452	-0.863	-0.663	-1.3	-1.072	-0.95	0.899	0.63	-0.647	0.892	1.764	-0.118	0.284	-0.348	-0.7	-0.085	-0.071	0.842	-0.767	-0.018	0.406	-1.256	-1.004	0.903	-0.179	-0.748	0.281	1.047	-0.854	0.329	0.92	1.439	0.957	1.759	0.504	1.234	-0.192	0.353	1.206	0.106	-1.021	-0.748	-0.732	0.1	0.008	0.267	-0.01	-0.106	1.117
23468	1.749	1.719	0.481	0.937	1.827	0.524	0.236	0.569	-0.127	0.018	-1.553	-0.286	-0.66	0.571	0.093	1.025	0.695	-0.252	-1.42	-1.417	-0.525	-0.789	-0.86	-1.272	-0.645	-0.169	-0.865	-0.277	-0.238	-0.441	-0.01	-0.222	2.22	0.203	0.132	0.395	1.304	1.203	1.867	0.562	0.086	-0.716	-0.006	-0.143	-0.024	-0.077	-0.194	-0.317	-1.107	-0.809	-0.137	-0.739
2054	1.035	0.818	0.421	0.482	0.518	0.368	-0.232	-0.344	0.058	0.262	0.12	-0.248	-0.635	0.382	-0.116	0.179	-0.38	-0.559	0.009	-0.599	-0.081	0.099	-0.107	-0.45	0.163	0	-0.072	-0.06	0.003	-0.413	0.151	-0.613	0.006	-0.251	-0.162	-0.264	-0.104	-0.254	-0.291	-0.61	-0.123	0.006	-0.386	-0.064	-0.238	-0.297	-0.284	-0.028	-0.086	-0.482	-0.064	0.02
999	-6.612	-6.116	-5.827	-6.199	-5.869	-4.627	-6.276	-5.894	-5.862	0.762	-7.161	0.394	3.177	1.775	-2.681	-2.378	-3.107	-0.15	3.31	2.432	-0.69	-0.003	-2.141	3.038	-1.022	-1.613	0.13	2.024	0.979	0.944	-6.915	1.314	0.349	3.067	-5.095	1.1	2.188	1.41	-4.909	-2.389	-6.893	-3.745	0.795	0.056	2.31	0.824	1.593	1.287	1.578	4.062	-6.446	2.354
79686	-0.066	0.04	0.487	2.615	0.491	5.145	-0.252	0.332	3.717	0.296	-0.391	-0.046	-0.132	-0.283	-0.577	1.021	0.428	-0.498	-0.303	-0.187	-0.471	-0.687	-0.164	2.276	0.84	-0.112	-0.719	-0.108	-0.314	-0.406	0.124	0.128	0.024	0.183	1.815	-0.435	-0.145	-0.647	-0.115	-0.048	-0.745	0.874	-0.331	-0.523	0.549	1.708	1.062	-0.112	1.874	-0.165	0.123	-0.603
1832	-4.125	-3.522	-3.594	-2.104	-2.775	-4.265	-3.696	-4.072	-3.997	-0.99	-0.424	-1.068	1.056	1.306	-0.451	0.309	-1.092	0.898	0.452	1.337	0.774	0.859	0.851	-3.665	0.137	-0.941	0.869	0.79	-0.649	0.095	1.311	0.581	-0.636	-0.845	1.184	-0.185	-0.492	-0.03	-2.401	0.29	-0.086	-0.414	0.071	-0.544	-0.072	0.098	0.106	-0.032	0.794	0.945	0.046	-0.882
5806	9.34	8.625	0.244	7.432	1.913	0.909	7.352	9.215	0.021	-0.201	-0.415	-0.244	-0.144	-0.267	-0.244	0.053	2.772	-0.147	-0.227	-0.141	1.591	2.319	1.12	0.081	0.223	5.519	4.878	-0.115	-0.046	-0.056	-0.099	-0.484	0.371	-0.087	-0.078	-0.243	-0.2	-0.322	-0.412	-0.093	0.225	-0.2	-0.01	2.183	-0.574	0.928	-0.357	-0.277	-0.388	-0.227	-0.146	-0.348
2874	1.501	0.194	1.301	1.782	1.127	0.998	1.281	-1.145	0.719	0.457	0.423	0.565	0.329	-0.72	-0.214	-1.722	-1.305	-0.325	0.692	-0.812	-1.133	-0.087	0.461	-0.267	1.42	-0.112	-0.538	0.304	-1.382	-1.732	0.399	-0.661	-0.634	-0.132	0.369	-1.12	-0.24	-1.791	-1.048	0.274	-1.266	-1.207	1.116	0.941	-0.884	-0.071	-0.106	0.23	-0.581	-0.943	-1.842	0.018
79840	0.188	0.135	0.418	0.586	0.663	0.71	0.896	0.364	0.327	-0.243	-0.369	0.079	-0.421	-0.398	-0.325	-0.193	0.542	-0.294	-0.11	-0.329	0.074	-0.23	0.073	-0.146	-0.133	-0.337	-0.376	-0.717	0.143	-0.021	-0.124	0.674	1.162	0.065	0.679	-0.457	-0.056	-0.436	-0.049	-0.035	0.216	-0.625	-0.259	0.065	-0.048	-0.033	-0.355	-0.916	-0.464	-0.341	-0.062	-0.71
23082	0.9	0.759	0.665	0.099	1.73	0.178	0.331	1.536	0.67	-0.27	-0.06	-0.925	-0.142	-0.36	-0.016	-1.144	-1.073	0.097	-0.544	0.003	0.156	-0.563	-0.097	-0.934	1.944	-0.427	0.889	-0.81	0.215	0.438	-0.707	0.202	0.772	-0.454	-0.248	0.014	-0.556	-0.74	0.458	-0.344	-0.412	-1.745	-0.639	0.249	0.43	-0.776	-0.716	0.923	-1.36	-1.219	-0.715	-0.159
5347	1.144	0.678	1.116	-0.089	0.669	1.298	0.341	1.282	-0.185	-0.886	0.033	0.736	-0.902	-1.383	-2.014	-0.667	-0.361	1.189	-0.924	-2.881	-0.424	-2.052	1.455	-0.267	-0.959	0.567	0.517	0.712	-0.09	0.079	-1.041	0.779	0.379	-0.501	-0.956	-0.705	0.058	0.053	0.159	0.128	-0.452	-1.686	-2.261	0.36	-2.903	-0.79	-0.433	0.117	-1.392	-0.204	-1.666	0.457
1952	-1.274	-0.442	-1.299	-1.385	-1.116	-0.949	-1.17	-1.499	-1.094	1.353	1.351	0.925	-0.71	3.656	0.999	0.407	-0.273	2.2	-0.22	-0.203	1.435	0.703	-0.495	3.08	-0.25	-0.788	2.058	1.238	-1.098	-0.32	-0.112	1.304	0.371	2.637	2.412	-0.546	0.715	-0.432	-0.25	0.734	-0.001	-0.337	-0.042	-0.088	0.945	0.937	1.184	-0.428	1.832	-0.63	-0.523	3.032
8624	1.573	0.031	0.605	1.638	1.633	1.681	0.008	2.474	1.847	-2.719	-0.38	0.848	-1.942	-1.467	-0.638	-1.828	-2.429	0.678	-3.015	-1.528	0.252	-1.301	-0.023	-0.937	1.099	0.3	0.857	-0.537	1.354	1.634	-0.585	-0.743	1.454	0.71	-0.099	-1.333	-1.211	-2.702	-0.26	2.367	0.397	-2.326	-1.059	1.27	-0.63	0.962	-2.055	-0.522	0.426	-4.042	-2.47	-1.016
3598	3.167	-0.046	0.056	1.533	-0.215	0.263	8.206	-0.378	0.642	0.194	-0.149	-0.006	0.311	-0.342	0.229	0.959	0.067	0.581	0.125	-0.29	-0.16	0.594	-0.062	0.016	-0.559	0.296	-0.43	-0.236	-0.326	-0.26	-0.207	1.281	-0.186	0.039	-0.343	-0.06	-0.31	-0.049	-0.092	-0.262	0.243	-0.184	-0.095	1.666	-0.046	0.158	-0.364	-0.286	-0.605	-0.257	0.298	-0.309
9865	-0.877	-0.913	-0.357	-0.779	-0.647	-0.684	-0.815	-0.251	-0.601	2.382	4.204	-0.08	1.3	5.261	1.641	-0.507	-1.474	0.835	2.907	2.29	-0.153	-0.458	2.743	2.974	-1.507	-0.504	-0.366	-0.439	-0.168	-0.68	3.238	-1.287	-0.085	-0.214	3.395	0.512	1.361	-0.159	1.347	0.675	4.41	4.618	1.273	-0.772	3.171	3.209	3.494	3.83	1.8	2.439	2.595	-1.164
3985	-2.474	-2.486	-1.977	-2.742	-1.817	-2.28	-2.788	-2.605	-2.643	0.057	0.31	-0.565	-0.64	-1.083	-0.092	-0.179	-1.877	-0.081	-0.458	0.772	0.796	0.572	-1.48	-0.409	-1.226	1.175	0.586	0.016	-1.457	-0.206	0.622	0.484	-2.763	-3.015	-1.316	0.836	0.912	-0.03	2.483	0.149	-0.05	-0.411	2.556	-2.332	-0.393	0.635	3.14	0.732	0.436	0.611	1.4	1.211
