classes	BT549 || Claudin	HBL100 || Claudin	HS578T || Claudin	MDAMB157 || Claudin	MDAMB231 || Claudin	MDAMB435 || Claudin	MDAMB436 || Claudin	SUM159PT || Claudin	SUM1315 || Claudin	600MPE || Others	AU565 || Others	BT20 || Others	BT474 || Others	BT483 || Others	CAMA1 || Others	DU4475 || Others	HCC38 || Others	HCC70 || Others	HCC202 || Others	HCC1007 || Others	HCC1008 || Others	HCC1143 || Others	HCC1187 || Others	HCC1428 || Others	HCC1500 || Others	HCC1569 || Others	HCC1599 || Others	HCC1937 || Others	HCC1954 || Others	HCC2157 || Others	HCC2185 || Others	HCC3153 || Others	LY2 || Others	MCF7 || Others	MDAMB134 || Others	MDAMB175 || Others	MDAMB361 || Others	MDAMB415 || Others	MDAMB453 || Others	MDAMB468 || Others	SKBR3 || Others	SUM44PE || Others	SUM52PE || Others	SUM149PT || Others	SUM185PE || Others	SUM190PT || Others	SUM225CWN || Others	T47D || Others	UACC812 || Others	ZR751 || Others	ZR7530 || Others	ZR75B || Others
Group	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others
4329	-1.329	-0.008	-0.955	-0.896	-1.143	-0.795	-1.367	-1.719	-0.27	1.738	1.646	-1.129	1.225	1.167	0.374	-0.415	0.049	-0.141	0.495	0.914	-0.217	-0.861	1.757	-0.367	-1.303	-1.145	-0.692	-0.437	-1.506	-1.263	2.022	-0.636	1.441	1.732	1.006	1.205	0.609	1.658	4.071	-1.111	-0.054	2.674	0.467	-0.904	0.79	-0.174	1.811	3.179	2.564	2.135	0.415	0.979
10507	-1.385	0.72	-1.455	-2.126	-0.9	-2.209	-0.909	-1.402	-1.308	0.453	-0.104	0.457	0.066	0.654	-0.02	0.835	0.128	0.22	-0.696	-0.401	1.175	-0.718	2.89	-0.698	-0.053	-1.337	1.249	0.876	-1.078	-1.017	-0.828	0.348	-0.411	-0.022	-1.242	-1.206	-0.055	-0.676	-1.255	-0.676	-0.414	-0.764	0.012	0.419	1.015	0.689	0.583	-0.118	0.569	0.59	-0.079	1.008
3162	4.577	-0.593	2.25	0.023	-0.15	-0.11	1.471	3.472	5.227	-0.837	-0.262	1.702	-0.484	-0.743	0.743	-0.86	0.049	-0.504	-0.497	3.931	0.075	0.373	-0.235	0.196	-0.758	1.237	-0.102	-0.374	-1.022	1.176	0.543	2.333	-1.064	-1.354	0.081	-0.858	-0.13	0.229	-0.209	0.649	-0.357	1.349	-0.984	-1.36	0.189	0.907	0.23	-1.255	-1.374	-0.057	0.371	0.844
11018	2.017	1.848	1.302	-0.143	0.693	1.064	-0.255	-0.457	0.877	0.519	-0.624	0.366	0.176	-0.569	0.136	-0.403	0.442	-0.59	0.671	-0.352	-0.67	-0.228	-0.479	-1.475	0.134	0.551	-0.418	0.242	0.026	-0.163	-0.786	0.394	0.537	0.317	0.726	0.135	-0.402	-0.539	0.241	0.198	-0.03	-0.499	-0.848	0.765	-0.252	-0.22	-1.151	0.119	-1.231	-0.301	-0.019	-1.345
6337	-4.131	-1.259	-4.218	-4.179	-4.696	-5.601	-4.721	-2.202	-4.36	5.426	4.55	-0.284	3.436	-2.554	-4.338	-2.428	-0.132	0.855	-1.248	1.865	-0.28	0.167	-0.918	-0.299	-0.347	-4.866	0.033	3.049	-1.809	-4.604	4.375	0.785	-0.503	1.103	-1.844	4.458	4.433	2.474	-5.065	1.791	2.41	0.946	4.927	4.236	5.401	3.926	2.586	-0.281	1.889	0.167	5.392	-0.697
901	-0.767	-1.445	-1.338	-0.475	-1.642	-1.15	-1.344	-2.971	-0.277	0.033	-0.826	-2.548	5.449	1.236	2.099	0.008	0.478	0.241	-0.117	2.253	0.688	-0.003	1.876	-0.091	-0.177	1.314	1.16	-0.92	-2.358	-1.04	0.702	-0.125	-2.753	0.894	1.043	1.42	2.936	1.081	3.257	-0.845	-0.432	2.707	-2.562	-0.519	1.893	-0.125	0.855	0.81	0.962	3.381	3.394	-1.026
6880	1.504	0.982	1.927	0.477	0.225	1.035	-0.273	2.102	2.061	-0.744	-0.162	0.213	-2.767	0.056	-0.08	0.113	-0.031	-0.703	-2.217	0.58	-1.229	-2.166	-0.204	0.699	0.316	-0.275	-1.503	0.502	-0.748	-1.844	-1.858	-0.14	0.179	1.099	0.545	-1.635	-1.391	0.259	-1.089	-0.42	-0.536	-0.124	-0.57	0.049	1.354	0.826	-0.498	0.986	-0.141	-0.38	-0.127	0.901
7494	-1.903	-2.841	-2.36	-3.064	-2.159	-1.484	-3.093	-1.726	-3.415	3.195	1.338	-2.614	3.062	3.573	3.24	-2.366	-3.82	-0.766	0.355	2.136	-0.297	-2.678	-1.811	0.16	-1.633	-2.4	-0.682	-1.466	-2.957	-1.959	2.592	-1.937	0.452	3.186	3.729	5.046	4.352	4.073	4.428	-0.354	2.154	1.617	3.177	-3.527	3.324	2.328	2.992	3.788	3.157	4.818	3.993	2.902
54972	-1.311	-2.235	-1.291	-1.235	-2.682	-1.765	-1.462	-1.336	-1.685	-0.665	1.726	-1.854	2.326	1.244	0.46	-1.215	-0.93	-0.324	2.775	1.391	-0.677	-1.051	0.755	0.355	-2.096	-0.328	-0.111	-0.294	-1.246	-0.682	1.184	-0.086	0.233	0.14	2.83	1.662	1.098	0.348	0.634	-0.279	1.345	0.633	-1.788	1.849	1.073	1.288	-0.159	2.044	1.603	0.348	0.042	0.441
1902	0.167	2.087	2.025	3.37	5.015	0.552	1.887	1.561	1.887	-0.08	-0.304	-0.541	0.056	-0.337	-0.165	0.643	0.178	-0.691	0.872	-0.638	-0.249	-0.294	-0.246	-0.615	3.153	-0.451	-0.322	-0.163	0.263	-0.238	-0.303	-0.49	0.272	0.274	2.025	0.681	-0.356	0.024	-0.273	-0.142	0.495	-0.132	1.373	0.148	-0.013	-0.149	-0.51	0.45	0.329	-0.288	-0.538	-0.888
