# Benjamin Haibe-Kains. All rights reserved.
# modelname: EEI
# mean.1: -0.786424 -0.699885
# mean.2: 0.0259983 0.736014
# mean.3: 0.539605 -0.509828
# sigma: 0.0742857 0.0543618
# pro: 0.299419 0.139535 0.561047
# scale: 0.0635476
# shape: 1.16898 0.855449
# cutoff.AURKA: -0.202763
"module","probe","EntrezGene.ID","coefficient"
"","203145_at","10615","29.0887"
"","209680_s_at","3833","28.9603"
"","218355_at","24137","28.924"
"","207165_at","3161","28.7556"
"","201088_at","3838","28.6239"
"","218542_at","55165","28.6178"
"","204162_at","10403","28.3522"
"","204709_s_at","9493","28.2508"
"","202779_s_at","27338","28.2037"
"","201111_at","1434","28.1746"
"","204649_at","10024","28.055"
"","218663_at","64151","27.8872"
"","204444_at","3832","27.764"
"","201202_at","5111","27.7042"
"","219918_s_at","259266","27.4894"
"","202503_s_at","9768","27.432"
"","203755_at","701","27.431"
"","212949_at","23397","27.3622"
"","218883_s_at","79682","27.1925"
"","209714_s_at","1033","27.1696"
"","218308_at","10460","27.0815"
"","217010_s_at","995","27.0079"
"","203046_s_at","8914","26.9792"
"","202870_s_at","991","26.6635"
"","201930_at","4175","26.4493"
"","203276_at","4001","26.3655"
"","201558_at","8480","26.2426"
"","218585_s_at","51514","26.2333"
"","219978_s_at","51203","26.1582"
"","219148_at","55872","25.9738"
"","204767_s_at","2237","25.6863"
"","205339_at","6491","25.6105"
"","219555_s_at","55839","25.5917"
"","209464_at","9212","25.4166"
"","219306_at","56992","25.2781"
"","221521_s_at","51659","25.0409"
"","206364_at","9928","24.9969"
"","204267_x_at","9088","24.9579"
"","211814_s_at","9134","24.8171"
"","221591_s_at","54478","24.7817"
"","219000_s_at","79075","24.7779"
"","205023_at","5888","24.7353"
"","202107_s_at","4171","24.625"
"","201114_x_at","5688","24.6249"
"","204126_s_at","8318","24.5725"
"","205733_at","641","24.5294"
"","204023_at","5984","24.4519"
"","221436_s_at","83461","24.2138"
"","204603_at","9156","24.0513"
"","200853_at","3015","24.0155"
"","208808_s_at","3148","23.8108"
"","212022_s_at","4288","23.8057"
"","201897_s_at","1163","23.6827"
"","203418_at","890","23.6459"
"","217755_at","51155","23.2639"
"","204146_at","10635","23.2607"
"","202338_at","7083","23.1787"
"","201584_s_at","10212","23.1384"
"","219990_at","79733","23.1291"
"","203022_at","10535","23.096"
"","200795_at","8404","-22.9886"
"","202613_at","1503","22.8777"
"","220651_s_at","55388","22.7565"
"","202589_at","7298","22.7335"
"","219105_x_at","23594","22.7024"
"","218741_at","79019","22.6758"
"","212713_at","4239","-22.6283"
"","204558_at","8438","22.2717"
"","213599_at","11339","22.2388"
"","202823_at","6921","22.154"
"","218238_at","23560","22.0991"
