# Benjamin Haibe-Kains. All rights reserved.
# model.name: EEI
# mean.1: -0.673211 -0.73176
# mean.2: 0.0205898 0.695856
# mean.3: 0.472702 -0.325296
# sigma: 0.105157 0.0723926
# pro: 0.271955 0.13881 0.589235
# scale: 0.0872499
# shape: 1.20523 0.829715
# gaussian.AURKA.mean: -0.243212
# gaussian.AURKA.sigma: 0.229011
# rescale.q: 0.05
"module","probe","EntrezGene.ID","coefficient"
"","212160_at","11260","0.472165093"
"","205381_at","10234","-0.470393991"
"","218730_s_at","4969","-0.466959754"
"","212832_s_at","9793","0.466604145"
"","213364_s_at","6642","-0.46500284"
"","206550_s_at","9631","0.463044246"
"","203270_at","1841","0.453199348"
"","204766_s_at","4521","0.452653404"
"","218656_s_at","10186","-0.45165415"
"","205053_at","5557","0.449712622"
"","201555_at","4172","0.449081552"
"","211734_s_at","2205","-0.448061407"
"","209540_at","3479","-0.446096953"
"","209897_s_at","9353","-0.445614652"
"","215506_s_at","9077","-0.445208412"
"","217889_s_at","79901","-0.440564443"
"","218589_at","10161","-0.440507256"
"","201342_at","6631","0.439785378"
"","218695_at","54512","0.438481818"
"","201250_s_at","6513","0.43835292"
"","204115_at","2791","-0.436715822"
"","203422_at","5424","0.436580111"
"","205422_s_at","9358","-0.436491106"
"","218533_s_at","54963","0.435505247"
"","218059_at","51123","0.428982832"
"","220840_s_at","55732","0.42605845"
"","203065_s_at","857","-0.42094884"
"","221069_s_at","51204","0.414669919"
"","205141_at","283","-0.412118185"
"","219315_s_at","79652","-0.406140661"
"","218728_s_at","29097","0.405953438"
"","219121_s_at","54845","0.404725151"
"","203698_s_at","2487","-0.402145147"
"","202854_at","3251","0.401889944"
"","201933_at","5119","0.401736559"
"","218619_s_at","6839","0.396921778"
"","218162_at","56944","-0.396380172"
"","219308_s_at","26289","-0.395223599"
"","213379_at","27235","0.394874544"
"","202344_at","3297","0.393113682"
"","203664_s_at","5433","0.390567073"
"","219502_at","55247","0.387791125"
"","218399_s_at","55038","0.386970228"
"","218560_s_at","65094","0.386721791"
"","218701_at","51110","0.384063357"
"","206767_at","27303","-0.382818553"
"","209567_at","23212","0.381084547"
"","201714_at","7283","0.377543673"
"","204948_s_at","10468","-0.377349354"
